127.0.0.1 - - [07/May/2023:13:52:11 +0530] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:15 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2747
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/c.jpg HTTP/1.1" 200 22708
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/dbx2.jpeg HTTP/1.1" 200 28335
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/user/home.jsp HTTP/1.1" 200 2966
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/css/home.css HTTP/1.1" 200 4071
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/js/home.js HTTP/1.1" 200 1841
127.0.0.1 - - [07/May/2023:14:11:17 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
